scenario,forwarding,seed,pdr,latency_mean,latency_median,latency_p95,latency_std,convergence_mean,convergence_max,control_overhead,duplicate_overhead,total_overhead,duplicate_ratio,energy_mean,energy_total,recovery_ratio,recovery_time,forwarding_efficiency,fairness,total_messages,events_processed
Scenario 1: Static,flood,42,1.0,0.008379462856053923,0.0036697863191221813,0.005687345325675608,0.08676989276443241,0.027057208205522654,2.9744403186059643,83.65936168676438,10.61107300166077,94.27043468842515,0.913782972055367,22.60366631400001,452.0733262800002,1.0,0.0,0.9088093599449415,0.9997048849495624,139,66188
Scenario 1: Static,flood,43,1.0,0.004365158282711811,0.0036202186718554685,0.0059405425032181824,0.017254622573608023,0.009898673343024614,0.572748874584116,72.31297351901291,10.494696587055342,82.80767010606826,0.9129675399571593,19.67669181159982,393.5338362319964,1.0,0.0,0.9063143445435827,0.9998080622457434,139,65063
Scenario 1: Static,heuristic,42,1.0,0.018218191600048908,0.00431517129931791,0.007523328465110523,0.2050946507209539,0.047910748533209285,5.001412554131168,79.64791233010898,7.43198236806661,87.07989469817558,0.881243965648661,18.757941776399967,375.1588355279994,1.0,0.0,0.9100467289719626,0.9996758393217335,123,52941
Scenario 1: Static,heuristic,43,1.0,0.054636591628289294,0.004349630430379392,0.008083104611092295,0.5870151728522405,0.11766035960306029,8.586884674987878,80.63554873476221,7.348406899077449,87.98395563383966,0.8800052629270646,22.24672561280007,444.93451225600137,1.0,0.0,0.9116961012995668,0.9996656072220294,144,57287
Scenario 1: Static,ai,42,1.0,0.010043196060939157,0.0048257720301450036,0.008453239897617947,0.1033482346532946,0.036179055747731476,4.052949499413748,86.42741433021807,6.4613707165109036,92.88878504672897,0.8658257439244144,23.594040241200112,471.88080482400227,1.0,0.0,0.9092409240924092,0.9996845538049792,145,55883
Scenario 1: Static,ai,43,1.0,0.006521189313627298,0.004915149235507954,0.009507909771211584,0.03241039192751677,0.024301580038914267,1.3518935919746706,83.66502463054188,6.277993730407523,89.9430183609494,0.862525195100522,21.998156430400037,439.9631286080007,1.0,0.0,0.9069212410501193,0.9995027630552951,140,54592
Scenario 2: Partition,flood,42,0.8054919908466819,0.009591146255279764,0.003666191198881563,0.0058838702546449165,0.09699124804552514,0.02729871615175152,2.9744403186059643,81.83733375482647,9.615891796689773,91.45322555151624,0.9056763878343977,17.592202765599914,351.84405531199826,1.0,0.0,0.8892631578947369,0.9995034462978067,138,53791
Scenario 2: Partition,flood,43,0.7941869599371564,0.004615780868088864,0.0036007537080138263,0.006067603105043236,0.019705905205875236,0.010120136784633625,0.572748874584116,73.92612578645993,9.542710370667107,83.46883615712703,0.9050971557307801,15.480517187999833,309.6103437599967,1.0,0.0,0.8849015317286653,0.9987014509746446,134,52012
Scenario 2: Partition,heuristic,42,0.8157894736842105,0.021909390902134014,0.004232651913252283,0.007703939623014299,0.22986887403958653,0.05156542840167496,5.001412554131168,75.38553104155977,6.916316059517701,82.30184710107747,0.8734521703633147,14.157079897599939,283.1415979519988,1.0,0.0,0.8925143953934741,0.9983724071060013,120,43563
Scenario 2: Partition,heuristic,43,0.8421052631578947,0.08215291528019616,0.004346824322468024,0.008383858177777622,0.7014717037863277,0.23718485833385305,8.586884674987878,87.45754089561991,6.904277413483303,94.36181830910321,0.8730866951725847,17.962933132799904,359.2586626559981,1.0,0.0,0.9010118785745711,0.9992814462561825,128,47101
Scenario 2: Partition,ai,42,0.803921568627451,0.015077002938357517,0.004850723412580749,0.009385429332161264,0.13593001426720225,0.07441071078086349,4.052949499413748,87.67585347416593,5.889799170531391,93.56565264469732,0.8545284780578898,20.317098757999997,406.34197515999995,1.0,0.0,0.8930072602216278,0.9993685293008991,153,47788
